===info ||| Progress {0} ||| [0.00]
===info ||| Progress {0} ||| [2.94]
===info ||| Progress {0} ||| [5.88]
===info ||| Progress {0} ||| [8.82]
===info ||| Build options changed, rebuilding all ||| []
===info ||| Progress {0} ||| [11.76]
===info ||| Progress {0} ||| [14.71]
===info ||| Progress {0} ||| [17.65]
===info ||| Progress {0} ||| [20.59]
===info ||| Progress {0} ||| [23.53]
===info ||| Progress {0} ||| [26.47]
===info ||| Progress {0} ||| [29.41]
===info ||| Progress {0} ||| [32.35]
===info ||| Progress {0} ||| [35.29]
===info ||| Progress {0} ||| [38.24]
===info ||| Progress {0} ||| [41.18]
===info ||| Progress {0} ||| [44.12]
===info ||| Progress {0} ||| [47.06]
===info ||| Progress {0} ||| [50.00]
===info ||| Progress {0} ||| [52.94]
===info ||| Progress {0} ||| [55.88]
===info ||| Progress {0} ||| [58.82]
===info ||| Progress {0} ||| [61.76]
===info ||| Progress {0} ||| [64.71]
===info ||| Progress {0} ||| [67.65]
===info ||| Progress {0} ||| [70.59]
===info ||| Progress {0} ||| [73.53]
===info ||| Progress {0} ||| [76.47]
===info ||| Progress {0} ||| [79.41]
===info ||| Progress {0} ||| [82.35]
===info ||| Progress {0} ||| [85.29]
===info ||| Progress {0} ||| [88.24]
===info ||| Progress {0} ||| [91.18]
===info ||| Progress {0} ||| [94.12]
===info ||| Progress {0} ||| [97.06]
===info ||| Progress {0} ||| [100.00]
